Từ_1        Từ_2         1    2    3    4    5    6    7    8    9    10   11   12   
rộng_lớn    mênh_mông    9.0  8.7  8.5  7.6  8.8  9.3  7.0  8.6  8.4  9.2  8.5  8.2  
đẹp         độc_ác       4.5  3.9  2.0  2.5  4.6  4.2  3.0  4.1  3.9  5.0  3.8  3.9  
nóng_nảy    lo_lắng      5.0  4.4  5.0  4.5  4.6  4.9  5.0  4.6  4.4  4.9  4.4  4.1  
mênh_mông   rộng_rãi     8.5  8.8  8.0  6.5  8.7  8.3  6.0  8.1  7.9  8.4  7.8  7.9  
mạnh_mẽ     tự_hào       5.5  5.6  4.0  1.0  5.8  5.4  3.0  5.1  4.9  5.7  5.0  4.7  
vô_ích      cần_thiết    1.0  1.0  1.0  1.0  1.3  0.6  1.0  0.6  0.4  1.5  0.5  0.5  
hiếu_động   trẻ          4.5  5.0  5.0  5.5  4.8  4.8  5.0  4.1  3.9  4.3  4.0  3.7  
đần_độn     khôn_ngoan   0.0  0.0  0.5  0.5  0.0  0.0  1.0  1.0  0.0  1.0  1.3  1.4  
tồi         vĩ_đại       1.5  1.1  0.5  0.5  1.0  1.9  1.0  1.1  0.9  1.5  0.9  0.6  
khó         đơn_giản     2.0  1.9  2.0  1.5  1.9  2.1  1.0  1.6  1.4  1.6  1.3  1.4  
cần_thiết   quan_trọng   8.0  8.4  9.0  6.5  7.7  7.9  7.0  7.6  7.4  7.5  7.5  7.2  
tồi         đẹp_đẽ       0.5  0.5  0.5  1.0  1.4  1.0  1.0  1.1  0.0  1.7  0.7  0.8  
điên        sung_sướng   1.5  1.9  2.0  5.0  1.9  1.2  3.0  1.1  0.9  1.6  1.0  0.7  
thật_thà    tội_lỗi      2.0  1.8  1.0  1.0  1.6  2.5  3.0  1.6  1.4  2.3  1.3  1.4  
dễ          phức_tạp     1.0  1.6  1.0  0.5  1.0  1.9  1.0  0.5  1.4  0.5  1.4  1.1  
dễ          linh_hoạt    2.5  2.0  2.0  4.6  2.0  2.8  4.0  2.1  1.9  2.7  1.8  1.9  
nhất_định   chắc_chắn    7.5  7.2  8.0  6.6  7.3  7.7  6.0  7.1  6.9  7.8  7.0  6.7  
thiết_yếu   cần_thiết    8.5  8.2  7.0  8.0  8.8  8.1  7.0  8.1  7.9  8.5  7.7  7.8  
khác_biệt   bình_thường  2.5  2.2  3.0  5.5  2.2  2.4  4.0  2.1  1.9  2.8  2.0  1.7  
gian_xảo    tài_giỏi     1.5  1.5  2.5  6.0  1.4  1.5  4.0  1.1  0.9  1.2  0.8  0.9  
chủ_yếu     quan_trọng   7.5  7.9  6.0  5.6  7.1  7.1  5.0  7.1  6.9  7.7  6.9  6.6  
tàn_nhẫn    độc_ác       9.0  8.4  8.0  10.0 9.1  9.4  8.0  8.6  8.4  9.3  8.3  8.4  
ngây_ngô    ngu_xuẩn     7.0  6.5  8.0  6.5  6.6  6.6  7.0  6.6  6.4  7.2  6.5  6.2  
khan_hiếm   quý_hiếm     7.5  7.5  6.5  8.5  7.2  7.7  8.0  7.1  6.9  7.5  6.7  6.8  
thân_thiện  hào_phóng    5.5  5.4  4.0  5.0  5.9  5.9  6.0  5.1  4.9  5.5  5.0  4.7  
mong_manh   lạnh_nhạt    4.0  3.4  2.0  4.0  3.6  3.9  2.0  3.6  3.4  4.1  3.3  3.4  
dài         hẹp          4.5  4.1  1.0  3.6  4.8  5.0  3.0  4.1  3.9  5.0  3.9  3.6  
mênh_mông   nặng         1.5  1.7  1.0  3.5  1.7  1.3  3.0  1.1  0.9  1.4  0.8  0.9  
thô         lạnh_nhạt    5.0  5.0  3.0  2.0  5.0  5.3  2.0  4.6  4.4  4.9  4.5  4.2  
kỳ_quái     lạ           7.5  7.4  6.0  6.5  7.1  7.6  7.0  7.1  6.9  7.4  6.7  6.8  
phi_pháp    xấu_xa       7.0  7.0  6.5  5.6  7.4  6.8  5.0  6.6  6.4  6.5  6.5  6.2  
tồi         tội_lỗi      6.5  6.4  6.0  5.0  6.5  7.0  5.0  6.1  5.9  6.2  5.8  5.9  
hiện_đại    cổ_xưa       0.5  1.0  1.0  0.5  1.7  1.0  2.0  1.1  0.9  1.8  0.9  0.6  
mới         cổ_xưa       1.0  1.0  2.0  1.1  1.8  1.5  0.5  1.6  1.4  1.0  1.3  1.4  
ngu_đần     hài_hước     1.5  1.4  1.0  1.6  1.9  2.0  1.0  1.1  0.9  1.1  1.0  0.7  
hạnh_phúc   trẻ          3.0  2.1  4.0  2.0  2.7  2.4  2.0  3.0  3.0  3.0  1.7  2.1  
dễ          mênh_mông    0.5  0.7  0.0  0.0  0.2  0.3  1.2  0.1  0.0  0.2  0.0  0.0  
vĩ_đại      trang_nghiêm 6.5  6.5  4.0  4.5  6.5  6.9  2.5  6.1  5.9  6.8  5.8  5.9  
nhỏ         lớn          0.0  0.8  0.0  0.0  0.2  0.1  1.0  0.1  0.0  0.0  0.0  0.0  
lịch_sự     chân_chính   3.5  3.1  5.0  6.0  3.6  3.3  5.0  3.1  2.9  4.0  2.8  2.9  
khiêm_tốn   hổ_thẹn      3.0  3.4  6.0  4.0  3.2  2.7  3.0  2.6  2.4  2.9  2.5  2.2  
quý_giá     quý_hiếm     7.5  6.8  8.0  8.5  7.0  7.6  8.0  7.1  6.9  7.0  6.7  6.8  
đần_độn     tài_giỏi     1.0  0.5  0.0  2.0  1.0  0.5  1.0  1.6  1.4  1.8  1.5  1.2  
hân_hoan    tuyệt_vời    6.5  6.0  8.0  5.0  6.5  6.6  6.0  6.1  5.9  6.1  5.8  5.9  
đáng_kể     rõ_ràng      2.5  2.6  6.3  6.6  2.4  2.2  6.0  2.1  1.9  2.3  1.9  1.6  
hoảng_sợ    lo_lắng      8.0  7.8  6.5  7.0  7.8  7.8  7.5  7.6  7.4  7.6  7.3  7.4  
ngay_thẳng  chân_chính   9.0  8.6  7.0  7.5  8.9  9.2  7.0  8.6  8.4  9.4  8.5  8.2  
tồi_tàn     ngu_đần      3.5  3.6  4.0  2.6  3.1  3.1  2.0  3.1  2.9  3.3  2.7  2.8  
hân_hoan    vui_vẻ       8.0  7.7  7.5  9.5  7.6  8.1  8.0  7.6  7.4  8.5  7.5  7.2  
bất_hạnh    điên         4.0  3.8  3.0  5.0  3.7  3.9  4.0  3.6  3.4  3.9  3.3  3.4  
buồn        khủng_khiếp  7.0  6.9  6.0  5.1  6.8  7.4  4.5  6.6  6.4  6.6  6.4  6.1  
ốm          dở_hơi       2.5  1.9  1.0  4.6  3.0  2.1  4.0  2.1  1.9  2.3  1.8  1.9  
mãnh_liệt   bất_mãn      3.0  2.5  1.0  2.6  3.3  2.8  2.0  2.6  2.4  3.1  2.5  2.2  
đầy         nặng         6.0  6.0  5.5  4.0  5.6  6.1  5.0  5.6  5.4  5.7  5.2  5.3  
bẩn         rẻ           5.5  5.0  3.0  2.6  5.4  5.7  2.0  5.1  4.9  5.1  5.0  4.7  
co_giãn     linh_hoạt    6.0  5.6  6.0  6.6  6.4  6.3  6.0  5.6  5.4  5.5  5.3  5.4  
khó_khăn    ngu_si       1.5  1.2  2.0  3.0  1.1  1.7  2.0  1.1  0.9  1.4  0.9  0.6  
gần         mới          1.0  1.0  1.0  4.5  1.0  0.7  3.0  0.6  0.4  0.8  0.5  0.5  
dũng_cảm    tự_hào       6.0  6.3  4.0  5.0  6.0  6.4  4.0  5.6  5.4  5.8  5.5  5.2  
gian_xảo    lạ           1.0  0.6  2.0  0.0  0.6  0.6  2.0  0.6  0.4  1.2  0.5  0.5  
lạ          gian_xảo     1.0  1.3  2.0  3.0  1.1  1.3  2.0  0.6  0.4  0.6  0.5  0.5  
đần_độn     quý_hiếm     0.5  0.8  1.0  0.0  0.1  0.2  1.0  0.1  0.0  0.1  0.0  0.0  
gian_xảo    phức_tạp     1.0  0.5  0.0  1.5  1.4  1.4  0.5  0.6  0.4  1.0  0.5  0.5  
đẹp_đẽ      điên         1.5  1.8  1.0  2.0  1.2  1.9  1.0  1.1  0.9  1.9  0.8  0.9  
khiêm_tốn   linh_hoạt    1.0  1.1  1.0  1.6  0.7  1.4  1.0  0.6  0.4  0.6  0.5  0.5  
tươi        rộng         1.5  1.1  0.0  1.0  1.4  1.4  0.5  1.1  0.9  1.1  0.7  0.8  
lớn         đần_độn      0.5  0.1  2.0  0.0  0.6  1.0  0.7  0.1  0.0  0.5  0.0  0.0  
rộng_lớn    linh_hoạt    2.0  2.2  1.0  3.5  1.6  2.0  1.5  1.6  1.4  2.1  1.3  1.4  
bẩn         hẹp          2.5  2.2  1.0  0.0  2.9  2.7  1.5  2.1  1.9  2.9  1.9  1.6  
vợ          chồng        3.5  3.1  3.3  3.6  3.3  3.1  3.0  3.1  2.9  3.5  2.8  2.9  
sách        chữ          6.0  5.6  7.5  6.6  5.7  5.6  6.0  5.6  5.4  6.0  5.5  5.2  
chú_rể      cô_dâu       3.5  3.0  4.3  4.6  3.5  3.5  4.0  3.1  2.9  3.2  2.7  2.8  
ban_đêm     ban_ngày     2.0  2.3  3.0  4.0  1.9  2.3  2.0  1.6  1.4  1.9  1.5  1.2  
nam         bắc          2.5  2.1  3.0  5.0  2.9  2.8  3.0  2.1  1.9  3.0  1.8  1.9  
máy_bay     sân_bay      4.5  4.3  4.3  5.0  4.1  4.1  4.0  4.1  3.9  4.9  3.9  3.6  
chú         cô           3.5  3.1  8.0  5.6  3.6  3.6  5.0  3.1  2.9  3.3  2.8  2.9  
trâu        ngựa         5.0  4.8  8.5  8.0  5.4  5.0  7.0  4.6  4.4  5.1  4.5  4.2  
đáy         đỉnh         2.0  1.3  3.0  0.0  1.8  2.2  1.5  1.6  1.4  1.9  1.2  1.3  
bạn         bạn_bè       8.0  8.3  7.5  9.0  8.4  8.3  8.0  7.6  7.4  8.2  7.5  7.2  
sinh_viên   học_sinh     7.0  6.4  8.5  8.5  6.6  6.5  7.5  6.6  6.4  7.5  6.3  6.4  
thế_giới    trái_đất     7.5  7.5  8.5  9.0  7.2  7.2  8.0  7.1  6.9  7.1  6.9  6.6  
chân        tay          3.0  2.3  6.0  3.6  2.9  3.3  3.0  2.6  2.4  2.8  2.3  2.4  
máy_bay     máy_bay_phản_lực 5.5  5.5  7.0  8.5  5.2  5.0  9.0  5.1  4.9  5.9  5.0  4.7  
phụ_nữ      đàn_ông      3.5  3.4  4.0  5.6  3.0  3.5  5.0  3.1  2.9  3.1  2.7  2.8  
trâu        cừu          4.0  3.5  6.0  9.5  4.1  3.7  8.0  3.6  3.4  3.7  3.5  3.2  
cô_giáo     thầy_giáo    5.0  5.2  7.0  9.0  4.9  5.3  7.0  4.6  4.4  5.1  4.3  4.4  
giáo_viên   giảng_viên   8.5  8.0  8.5  9.5  8.8  8.1  8.5  8.1  7.9  8.1  7.9  7.6  
điện_ảnh    phim         7.5  7.1  7.0  6.6  7.3  7.5  6.0  7.1  6.9  7.3  6.8  6.9  
chim        diều_hâu     7.5  7.8  4.0  7.5  7.3  7.5  6.0  7.1  6.9  7.6  7.0  6.7  
từ          từ_điển      7.0  6.9  6.0  5.1  6.7  6.9  4.5  6.6  6.4  6.6  6.2  6.3  
tiền        lương        7.5  7.1  5.5  7.0  7.8  7.8  7.0  7.1  6.9  7.0  7.0  6.7  
chó         mèo          3.0  2.7  3.0  2.6  3.0  3.0  2.0  2.6  2.4  3.0  2.3  2.4  
vùng        miền         8.5  8.8  7.0  7.5  8.2  8.4  8.0  8.1  7.9  9.0  7.9  7.6  
hải_quân    quân_đội     7.5  7.0  5.0  8.0  7.5  7.0  7.0  7.1  6.9  7.2  6.8  6.9  
sách        văn_học      7.0  6.5  6.0  7.5  6.9  6.8  6.0  6.6  6.4  7.0  6.5  6.2  
quần_áo     tủ           6.5  6.2  4.0  6.0  6.1  6.7  4.5  6.1  5.9  6.7  5.7  5.8  
hoàng_hôn   rạng_đông    2.5  2.0  3.0  3.5  2.2  2.6  2.5  2.1  1.9  2.5  2.0  2.5  
trẻ_em      người_lớn    2.0  2.2  3.0  5.0  1.7  2.1  4.0  1.6  1.4  2.3  1.3  1.4  
bò          gia_súc      7.0  7.3  5.5  7.5  6.8  7.0  6.0  6.6  6.4  7.2  6.4  6.1  
sách        truyện_ngắn  6.5  6.1  6.0  6.5  6.1  6.9  6.0  6.1  5.9  6.2  5.8  5.9  
mùa_đông    mùa_hè       2.0  1.9  4.0  5.0  1.6  2.4  4.0  1.6  1.4  1.7  1.5  3.0  
taxi        xe_tải       2.5  1.7  5.0  8.1  2.4  3.0  7.5  2.1  1.9  2.6  1.7  1.8  
cây         tre          6.0  6.1  5.0  6.5  5.7  5.6  6.5  5.6  5.4  5.6  5.5  5.2  
giường      buồng        4.0  4.3  4.0  6.1  4.4  4.2  5.5  3.6  3.4  4.2  3.3  3.4  
mái         trần         7.0  7.2  8.0  7.0  6.6  7.5  7.0  6.6  6.4  6.7  6.4  6.1  
bệnh        nhiễm_trùng  6.5  6.6  7.0  7.0  6.7  6.9  7.0  6.1  5.9  6.3  5.8  5.9  
tay         vai          3.5  3.2  6.0  4.1  3.4  4.0  3.5  3.1  2.9  3.7  3.0  2.7  
lợn         chân_giò     6.0  6.0  6.5  7.0  6.3  6.2  6.5  5.6  5.4  5.5  5.2  5.3  
bà          ông          3.5  3.6  4.3  4.6  3.7  3.9  4.0  3.1  2.9  3.5  3.0  2.7  
thuyền      mỏ_neo       6.0  5.3  6.5  4.1  6.1  6.2  3.5  5.6  5.4  6.1  5.3  5.4  
thầy_tu     nhà_sư       8.0  7.8  7.5  9.5  7.7  7.7  7.5  7.6  7.4  7.6  7.4  7.1  
ngón        ngón_trỏ     6.5  6.4  6.0  8.0  6.7  6.9  7.5  6.1  5.9  6.2  5.8  5.9  
sông        suối         5.5  5.0  7.0  7.5  5.1  5.8  8.0  5.1  4.9  5.1  5.0  4.7  
lôi_đình    tam_bành     9.0  8.4  6.5  9.5  9.0  9.5  8.5  8.6  8.4  8.6  8.2  8.3  
ngày_tháng  lịch         6.5  6.9  5.8  5.6  6.1  7.0  5.0  6.1  5.9  6.1  6.0  5.7  
biển        đại_dương    7.5  7.3  8.0  7.5  8.0  7.3  9.0  7.1  6.9  7.2  6.8  6.9  
giây        phút         4.5  4.6  6.0  7.5  4.2  4.3  6.5  4.1  3.9  4.1  3.9  3.6  
bàn_tay     ngón_cái     6.0  6.0  6.5  5.1  6.2  6.3  4.5  5.6  5.4  6.3  5.3  5.4  
gỗ          cây_gỗ       7.5  7.3  6.5  7.6  7.7  7.2  7.0  7.1  6.9  7.2  7.0  6.7  
chất_thải   rác          8.0  7.4  5.5  7.5  7.9  7.8  6.5  7.6  7.4  8.3  7.2  7.3  
hành_lang   lối          7.0  7.4  5.5  5.5  7.3  6.9  6.0  6.6  6.4  6.9  6.5  6.2  
cách_thức   phương_pháp  9.5  9.1  6.8  7.5  10.0 9.6  7.0  9.1  8.9  9.6  8.8  8.9  
chuột       mèo          2.0  1.8  3.0  2.6  1.6  1.6  2.0  1.6  1.4  2.2  1.4  1.1  
công_an     cảnh_sát     7.0  7.1  7.0  7.0  6.5  7.1  8.5  6.6  6.4  7.2  6.3  6.4  
thi_thể     tang_lễ      5.5  5.5  5.5  5.5  5.1  6.0  5.0  5.1  4.9  5.9  5.0  4.7  
âm_nhạc     giai_điệu    8.5  8.2  7.5  6.5  8.0  8.1  6.5  8.1  7.9  8.0  7.7  7.8  
bia         cồn          7.0  7.5  6.5  6.5  6.8  7.4  7.0  6.6  6.4  6.8  6.5  6.2  
miệng       môi          6.0  5.3  6.5  9.0  6.1  6.2  7.5  5.6  5.4  5.9  5.3  5.4  
bão         giông        8.0  7.8  7.5  8.5  8.3  7.5  7.5  7.6  7.4  8.2  7.4  7.1  
thuế        doanh_thu    2.0  2.8  6.0  4.6  2.2  2.4  4.0  2.1  1.9  2.0  1.8  1.9  
hoa         cúc          6.0  6.3  5.0  7.0  6.3  6.3  6.0  5.6  5.4  6.3  5.5  5.2  
giấy        bìa          8.0  8.0  6.0  6.5  8.2  7.9  4.5  7.6  7.4  7.6  7.2  7.3  
sàn         trần         2.0  2.2  2.0  3.5  1.6  1.9  2.5  1.6  1.4  1.8  1.5  1.2  
bãi_tắm     vịnh         7.0  6.7  5.0  6.0  6.9  6.9  6.5  6.6  6.4  7.4  6.3  6.4  
gậy         rèm          1.5  0.9  2.0  3.0  1.6  1.7  1.0  1.1  0.9  1.6  0.9  0.6  
linh_cẩu    cáo          7.0  6.3  5.5  5.0  7.2  6.6  4.0  6.6  6.4  6.9  6.3  6.4  
đường_phố   ngõ_hẻm      3.5  3.1  6.0  7.0  3.6  3.6  5.0  3.1  2.9  3.7  3.0  2.7  
thuyền      boong        6.0  6.1  6.7  6.5  6.1  6.2  5.5  5.6  5.4  5.6  5.2  5.3  
xe_hơi      còi          4.0  3.9  4.0  1.6  4.5  3.7  1.0  3.6  3.4  3.5  3.5  3.2  
bạn         khách        4.5  3.9  5.5  5.5  4.2  5.0  5.0  4.1  3.9  4.3  3.8  3.9  
chủ         nhân_viên    5.5  5.3  4.0  4.1  5.1  5.8  3.5  5.1  4.9  6.0  4.9  4.6  
bàn_tay     cổ_tay       6.0  5.8  7.5  5.1  6.3  6.5  4.5  5.6  5.4  6.2  5.3  5.4  
bóng        đại_bác      1.0  1.1  1.0  3.6  0.7  0.8  3.0  0.6  0.4  1.2  0.5  0.5  
cồn         rượu_nếp     7.5  6.9  6.0  7.5  7.5  7.2  6.0  7.1  6.9  7.1  6.7  6.8  
thắng_lợi   chiến_thắng  9.5  9.8  7.5  9.5  9.1  9.7  8.0  9.1  8.9  9.9  9.0  8.7  
điện_thoại  gian_hàng    2.5  2.3  1.0  2.6  2.1  2.1  2.0  2.1  1.9  2.2  1.8  1.9  
cửa         ngõ          3.0  3.1  6.0  6.0  3.2  3.2  6.5  2.6  2.4  3.2  2.4  2.1  
nhà_trọ     nhà_nghỉ     7.0  6.7  7.0  7.0  6.8  6.6  8.5  6.6  6.4  7.4  6.3  6.4  
quần_áo     vải          6.5  6.8  6.0  5.6  6.9  6.3  5.0  6.1  5.9  6.3  6.0  5.7  
chả_lụa     thịt         6.5  5.9  5.0  7.5  6.4  6.1  6.5  6.1  5.9  6.9  5.7  5.8  
móng        ngón_cái     4.0  4.3  5.0  4.6  3.9  4.0  4.0  3.6  3.4  4.3  3.5  3.2  
ban_nhạc    dàn_nhạc     6.0  5.9  7.0  8.5  5.8  6.3  7.5  5.6  5.4  6.2  5.3  5.4  
sách        kinh_thánh   6.0  5.7  4.6  6.5  6.0  6.2  5.0  5.6  5.4  6.2  5.4  5.1  
thương_mại  công_nghiệp  5.5  5.4  6.0  6.5  5.0  5.6  6.5  5.1  4.9  5.7  4.8  4.9  
mùa_đông    mùa          6.5  6.9  5.0  8.0  6.1  6.5  7.0  6.1  5.9  6.1  6.0  5.7  
thập_kỷ     thế_kỷ       6.0  5.6  5.5  7.5  6.3  5.7  6.0  5.6  5.4  6.1  5.2  5.3  
cồn         rượu_trắng   8.0  8.3  5.0  7.0  8.0  7.7  7.0  7.6  7.4  7.8  7.5  7.2  
mũ          áo           4.5  4.6  5.7  4.1  4.8  4.8  3.5  4.1  3.9  5.0  3.8  3.9  
cửa_sổ      cửa          7.0  6.9  6.8  8.0  6.9  6.7  7.5  6.6  6.4  7.0  6.4  6.1  
tay         cổ_tay       5.5  5.1  7.0  7.0  5.3  5.5  5.5  5.1  4.9  5.1  4.8  4.9  
nhà         căn_hộ       8.0  8.0  7.0  9.0  8.0  8.5  7.0  7.6  7.4  8.3  7.5  7.2  
ly          pha_lê       6.0  5.4  6.0  6.0  5.6  6.1  4.0  5.6  5.4  6.2  5.2  5.3  
rượu        rượu_nếp     7.5  7.1  8.0  8.0  7.2  7.7  9.0  7.1  6.9  7.5  7.0  6.7  
nghệ_sĩ     nghệ_nhân    7.0  6.9  7.5  8.5  7.3  7.1  6.5  6.6  6.4  7.1  6.3  6.4  
bữa_ăn      thức_ăn      6.0  5.8  5.5  5.6  5.9  5.5  5.0  5.6  5.4  6.3  5.4  5.1  
tay         cơ_bắp       4.5  3.8  2.8  3.1  4.6  4.9  2.5  4.1  3.9  4.9  3.8  3.9  
bọt         xà_phòng     6.0  6.0  4.5  6.1  5.6  6.0  5.5  5.6  5.4  6.3  5.5  5.2  
bánh_dẻo    bột          6.5  6.2  2.0  5.1  6.9  7.0  4.5  6.1  5.9  6.5  5.7  5.8  
thi_thể     thảm_kịch    4.0  3.6  3.0  4.0  4.5  3.9  3.5  3.6  3.4  4.1  3.5  3.2  
tiềm_năng   biểu_hiện    2.5  2.7  4.0  1.6  2.0  2.8  1.0  2.1  1.9  2.4  1.8  1.9  
súng        đại_bác      4.0  4.0  5.5  6.5  3.6  4.1  6.5  3.6  3.4  4.2  3.4  3.1  
cỏ          ngọn         5.0  4.9  4.0  4.1  4.9  5.1  3.5  4.6  4.4  5.4  4.3  4.4  
bóng        rổ           3.5  3.9  4.0  1.6  3.7  3.2  1.0  3.1  2.9  3.6  3.0  2.7  
vòi_nước    vườn         2.0  2.1  0.0  1.6  2.1  1.8  1.0  1.6  1.4  2.2  1.2  1.3  
trai        trẻ_con      4.0  3.5  3.0  5.5  3.6  3.8  5.0  3.6  3.4  3.8  3.5  3.2  
nhà_thờ     hợp_xướng    1.5  1.6  3.0  2.6  1.2  1.7  2.0  1.1  0.9  2.0  0.8  0.9  
quần_áo     ngăn_kéo     3.5  3.7  3.8  4.0  3.3  4.0  3.5  3.1  2.9  3.5  2.9  2.6  
cao_ốc      chuông       2.0  1.3  1.0  2.0  2.0  1.7  1.0  1.6  1.4  2.0  1.3  1.4  
cha         cha_mẹ       7.5  7.2  7.5  9.0  7.5  7.1  7.0  7.1  6.9  7.2  7.0  6.7  
trường_học  cấp          5.0  5.0  4.5  5.0  5.4  5.2  4.0  4.6  4.4  4.5  4.2  4.3  
cha_mẹ      người_lớn    4.5  4.3  5.0  6.0  4.2  4.3  5.5  4.1  3.9  4.8  4.0  3.7  
nhà_hàng    nhà_tù       1.5  1.4  4.0  2.1  1.8  1.7  1.5  1.1  0.9  1.3  0.8  0.9  
xe_hơi      đường_cao_tốc 3.0  3.3  5.5  3.1  2.6  2.8  2.5  2.6  2.4  3.2  2.4  2.1  
từ_điển     ngữ_nghĩa    5.0  4.5  5.5  6.5  5.4  4.5  6.5  4.6  4.4  4.5  4.3  4.4  
cửa         hầm          2.0  2.1  2.3  2.6  2.3  2.4  2.0  1.6  1.4  2.3  1.5  1.2  
